seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,pts_per_game
30765,2023,4525,Josh Hart,NA,SF-SG,27,6,NBA,TOT,57,51,32.7,3.7,7.2,0.517,0.8,2.3,2.9,4.9,0.594,0.573,1.7,2.4,0.731,1.8,6.1,7.9,3.8,1.1,0.2,1.5,2.6,10,11.4
29835,2022,4157,Dennis Schröder,NA,SG-PG,28,9,NBA,TOT,64,29,28.7,4.9,11.3,0.431,1.3,3.9,3.5,7.4,0.477,0.49,2.5,2.9,0.853,0.5,2.8,3.3,4.6,0.8,0.1,2.2,2.4,13.5,6.3
29861,2022,4400,Domantas Sabonis,NA,PF-C,25,6,NBA,TOT,62,61,34.5,7.1,12.5,0.573,0.6,2,6.5,10.5,0.623,0.598,4,5.4,0.741,3.2,8.9,12.1,5.2,1,0.4,3.1,3.3,18.9,8.7
30073,2022,4102,Justin Holiday,NA,SF-SG,32,9,NBA,TOT,74,65,27.8,3.5,8.9,0.394,2.4,6.5,1.1,2.4,0.467,0.528,0.7,0.8,0.806,0.4,2.2,2.6,1.7,0.8,0.4,0.9,2.1,10.1,13.2
30249,2022,4353,Norman Powell,NA,SF-SG,28,7,NBA,TOT,45,41,32.4,6.2,13.4,0.461,2.4,5.6,3.8,7.8,0.491,0.549,4.2,5.2,0.811,0.4,2.8,3.2,2.1,0.9,0.5,1.5,2.4,19,6.2
30344,2022,4291,Spencer Dinwiddie,NA,PG-SG,28,8,NBA,TOT,67,51,29.6,4.6,11,0.416,1.7,4.9,2.9,6,0.479,0.493,2.9,3.8,0.774,0.7,3.5,4.2,5.2,0.7,0.2,1.6,2.2,13.7,17.2
30416,2022,4892,Tyrese Haliburton,NA,SG-PG,21,2,NBA,TOT,77,77,35,5.6,11.8,0.473,2.1,5.1,3.5,6.8,0.517,0.562,2.1,2.5,0.842,0.8,3.2,4,8.2,1.7,0.6,2.6,1.6,15.3,6.7
29104,2021,4320,Delon Wright,NA,SG-PG,28,6,NBA,TOT,63,39,27.7,3.8,8.2,0.463,1,2.7,2.8,5.5,0.509,0.525,1.6,2,0.802,1,3.2,4.3,4.4,1.6,0.5,1.3,1.2,10.2,7
29157,2021,4086,Evan Fournier,NA,SF-SG,28,9,NBA,TOT,42,36,30,5.9,12.9,0.457,2.8,6.7,3.1,6.1,0.504,0.565,2.6,3.3,0.788,0.2,2.8,3,3.4,1.1,0.5,1.7,2.3,17.1,11.2
29245,2021,3880,James Harden,NA,PG-SG,31,12,NBA,TOT,44,43,36.6,7.8,16.7,0.466,2.8,7.6,5,9.1,0.553,0.548,6.3,7.3,0.861,0.8,7.1,7.9,10.8,1.2,0.8,4,2.3,24.6,2.5
29329,2021,4177,Kelly Olynyk,NA,C-PF,29,8,NBA,TOT,70,62,28.5,4.8,10,0.484,1.8,5.3,3,4.7,0.641,0.574,2.1,2.5,0.829,1.2,5.7,7,2.9,1.1,0.6,1.8,3,13.5,12.1
29461,2021,4353,Norman Powell,NA,SG-SF,27,6,NBA,TOT,69,58,32,6.3,13.3,0.477,2.5,6,3.9,7.3,0.532,0.57,3.4,3.9,0.871,0.6,2.5,3.1,1.9,1.2,0.3,1.7,2.3,18.6,5.7
28297,2020,3982,Alec Burks,NA,SF-SG,28,9,NBA,TOT,66,19,26.6,4.9,11.6,0.418,1.8,4.6,3.1,7.1,0.439,0.493,3.6,4,0.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15,7.3
28544,2020,4091,Jae Crowder,NA,SF-PF,29,8,NBA,TOT,65,53,28.8,3.5,8.7,0.401,2.1,6.1,1.4,2.6,0.538,0.521,1.5,1.9,0.776,0.8,5.1,5.9,2.5,1.1,0.4,1.1,2.2,10.5,14.6
28717,2020,4042,Marcus Morris,NA,SF-PF,30,9,NBA,TOT,62,62,31.2,5.7,13.1,0.438,2.3,5.6,3.4,7.5,0.461,0.526,2.9,3.5,0.823,1,4.1,5,1.4,0.8,0.5,1.6,2.9,16.7,12.2
28814,2020,4197,Robert Covington,NA,PF-C,29,7,NBA,TOT,70,68,30.5,4.4,10.3,0.422,2.3,6.9,2.1,3.5,0.593,0.533,1.4,1.8,0.798,0.9,5.7,6.6,1.3,1.6,1.3,1.5,3.1,12.4,4.4
27821,2019,4089,Harrison Barnes,NA,PF-SF,26,7,NBA,TOT,77,77,32.9,5.6,13.3,0.42,2.3,5.7,3.3,7.6,0.439,0.504,3,3.6,0.824,0.7,3.9,4.7,1.5,0.6,0.2,1.3,1.6,16.4,18.2
27911,2019,4023,Jimmy Butler,NA,SF-SG,29,8,NBA,TOT,65,65,33.6,6.4,13.9,0.462,1,3,5.4,10.9,0.494,0.499,4.8,5.6,0.855,1.9,3.4,5.3,4,1.9,0.6,1.5,1.7,18.7,9.1
28271,2019,3914,Wesley Matthews,NA,SF-SG,32,10,NBA,TOT,69,68,30.3,4,10.1,0.4,2.2,5.8,1.9,4.3,0.437,0.507,1.9,2.4,0.81,0.5,2,2.5,2.3,0.8,0.2,1.3,2.3,12.2,10.1
25173,2015,3985,Brandon Knight,NA,PG-SG,23,4,NBA,TOT,63,61,32.3,6,14.1,0.422,2,5.1,4,9,0.441,0.493,3.1,3.5,0.874,0.4,3.4,3.9,5.2,1.4,0.2,3,1.8,17,4.7
25309,2015,3817,Goran Dragić,NA,SG-PG,28,7,NBA,TOT,78,78,33.8,6.4,12.8,0.501,1.2,3.3,5.3,9.5,0.555,0.546,2.3,3,0.774,1,2.5,3.5,4.5,1,0.2,2.2,2.5,16.3,2.1
